country_code,discipline_code,name
ALB,ALP,1
AND,ALP,2
AND,CCS,2
AND,SBD,1
ARG,ALP,2
ARG,CCS,2
ARG,LUG,1
ARG,SSK,1
ARM,ALP,1
ARM,CCS,3
ARM,FSK,2
ASA,SKN,1
AUS,ALP,4
AUS,BOB,2
AUS,CCS,6
AUS,CUR,2
AUS,FRS,13
AUS,FSK,2
AUS,LUG,1
AUS,SBD,11
AUS,SKN,2
AUS,STK,1
AUT,ALP,22
AUT,BOB,10
AUT,BTH,10
AUT,CCS,5
AUT,FRS,13
AUT,FSK,3
AUT,LUG,10
AUT,NCB,5
AUT,SBD,13
AUT,SJP,9
AUT,SKN,3
AUT,SSK,2
AZE,FSK,2
BEL,ALP,3
BEL,BOB,2
BEL,BTH,5
BEL,CCS,1
BEL,FSK,1
BEL,SBD,1
BEL,SKN,1
BEL,SSK,3
BEL,STK,2
BIH,ALP,3
BIH,CCS,2
BIH,LUG,1
BLR,ALP,1
BLR,BTH,10
BLR,CCS,4
BLR,FRS,7
BLR,FSK,2
BLR,SSK,5
BOL,ALP,1
BOL,CCS,1
BRA,ALP,1
BRA,BOB,4
BRA,CCS,3
BRA,FRS,1
BRA,SKN,1
BUL,ALP,3
BUL,BTH,8
BUL,CCS,1
BUL,FSK,1
BUL,LUG,1
BUL,SBD,1
BUL,SJP,1
CAN,ALP,13
CAN,BOB,18
CAN,BTH,8
CAN,CCS,9
CAN,CUR,12
CAN,FRS,32
CAN,FSK,13
CAN,IHO,50
CAN,LUG,6
CAN,SBD,23
CAN,SJP,4
CAN,SKN,3
CAN,SSK,16
CAN,STK,10
CHI,ALP,2
CHI,CCS,1
CHI,FRS,1
CHN,ALP,4
CHN,BOB,12
CHN,BTH,8
CHN,CCS,12
CHN,CUR,12
CHN,FRS,21
CHN,FSK,8
CHN,IHO,48
CHN,LUG,4
CHN,NCB,1
CHN,SBD,14
CHN,SJP,4
CHN,SKN,4
CHN,SSK,14
CHN,STK,10
COL,ALP,1
COL,CCS,1
COL,SSK,1
CRO,ALP,6
CRO,CCS,3
CRO,SBD,1
CRO,STK,1
CYP,ALP,1
CZE,ALP,8
CZE,BOB,4
CZE,BTH,10
CZE,CCS,11
CZE,CUR,2
CZE,FRS,1
CZE,FSK,6
CZE,IHO,48
CZE,LUG,4
CZE,NCB,4
CZE,SBD,5
CZE,SJP,8
CZE,SKN,1
CZE,SSK,2
CZE,STK,1
DEN,ALP,1
DEN,BTH,1
DEN,CUR,10
DEN,IHO,48
DEN,SSK,2
ECU,ALP,1
ERI,ALP,1
ESP,ALP,3
ESP,CCS,2
ESP,FRS,2
ESP,FSK,4
ESP,SBD,2
ESP,SKN,1
EST,ALP,2
EST,BTH,8
EST,CCS,9
EST,FRS,1
